"","x"
"1","Prevotella"
"2","Propionimicrobium"
"3","Ezakiella"
"4","Proteus"
"5","Mobiluncus"
"6","Actinotignum"
"7","Jonquetella"
"8","Varibaculum"
"9","Negativicoccus"
"10","Peptoniphilus_C"
"11","Peptoniphilus_B"
"12","Levyella"
"13","Fastidiosipila"
"14","Urinicoccus"
"15","Mediannikoviicoccus"
"16","Porphyromonas"
"17","Arcanobacterium_A"
"18","Peptoniphilus_E"
"19","W5053"
"20","Dermabacter"
"21","UMGS1590"
