"","scr_inner_iterations[[""Control""]][[""gamma""]]"
"ASV_286",0.000252656752538479
"ASV_287",0
"ASV_288",0
"ASV_289",0
"ASV_290",0
"ASV_291",0
"ASV_292",0
"ASV_293",0
"ASV_294",0
"ASV_295",4.32972075425772e-05
"ASV_296",0
"ASV_297",0
"ASV_298",0.000420847662518606
"ASV_299",0
"ASV_300",0
"ASV_301",0
"ASV_302",0
"ASV_303",0
"ASV_304",0.000266124006061711
"ASV_305",0
"ASV_306",0
"ASV_307",0
"ASV_308",0
"ASV_309",0
"ASV_310",0
"ASV_311",0
"ASV_312",0
"ASV_313",0.000249336657168504
"ASV_314",0
"ASV_315",0
"ASV_316",0
"ASV_317",0
"ASV_318",0
"ASV_319",0
"ASV_320",0
"ASV_321",0
"ASV_322",0
"ASV_323",0.0848517592453928
"ASV_324",0
"ASV_325",0
"ASV_326",0
"ASV_327",0.000111400129186711
"ASV_328",0.000140597614284622
"ASV_329",0
"ASV_330",0
"ASV_331",0
"ASV_332",0
"ASV_333",0
"ASV_334",0
"ASV_335",0
"ASV_336",0
"ASV_337",0.000403079604907012
"ASV_338",0
"ASV_339",0
"ASV_340",0
"ASV_341",0
"ASV_342",0
"ASV_343",0
"ASV_344",0.074662056290777
"ASV_345",0
"ASV_346",0
"ASV_347",0
"ASV_348",0
"ASV_349",0
"ASV_350",0
"ASV_351",0
"ASV_352",0
"ASV_353",0
"ASV_354",0
"ASV_355",0
"ASV_356",0
"ASV_357",0.000771443118224123
"ASV_358",0
"ASV_359",0.000180058562176073
"ASV_360",0
"ASV_361",0
"ASV_362",6.85150711926804e-05
"ASV_363",0
"ASV_364",0
"ASV_365",0
"ASV_366",0
"ASV_367",0
"ASV_368",0.00135101481640895
"ASV_369",0
"ASV_370",0
"ASV_371",0
"ASV_372",0
"ASV_373",0.000504107008239244
"ASV_374",0.00164820734899046
"ASV_375",0.000226278412294739
"ASV_376",0.000109530570692995
"ASV_377",0
"ASV_378",0.0004720662094015
"ASV_379",0
"ASV_380",0.000378282624216793
"ASV_381",0
"ASV_382",0
"ASV_383",0
"ASV_384",0
"ASV_385",0
"ASV_386",0
"ASV_387",0
"ASV_388",0
"ASV_389",0
"ASV_390",8.6740311187209e-05
"ASV_391",0
"ASV_392",0
"ASV_393",0
"ASV_394",0
"ASV_395",0
"ASV_396",0
"ASV_397",0
"ASV_398",0.000107356542995644
"ASV_399",0
"ASV_400",0
"ASV_401",0
"ASV_402",0.0577308765602483
"ASV_403",0
"ASV_404",0
"ASV_405",0
"ASV_406",0
"ASV_407",0
"ASV_408",0
"ASV_409",0
"ASV_410",0
"ASV_411",0
"ASV_412",0
"ASV_413",0
"ASV_414",0
"ASV_415",0
"ASV_416",0
"ASV_417",0
"ASV_418",0
"ASV_419",0
"ASV_420",0
"ASV_421",0
"ASV_422",0
"ASV_423",0
"ASV_424",0
"ASV_425",0
"ASV_426",0
"ASV_427",6.42333521490991e-05
"ASV_428",0
"ASV_429",0
"ASV_430",0
"ASV_431",0
"ASV_432",0
"ASV_433",0
"ASV_434",0
"ASV_435",0.0510309268519214
"ASV_436",0
"ASV_437",0
"ASV_438",0
"ASV_439",0
"ASV_440",0
"ASV_441",0
"ASV_442",8.72185940997328e-05
"ASV_443",4.45967483092161e-05
"ASV_444",0
"ASV_445",0
"ASV_446",0
"ASV_447",0
"ASV_448",0
"ASV_449",4.31145479221354e-05
"ASV_450",0
"ASV_451",0
"ASV_452",0
"ASV_453",0
"ASV_454",0
"ASV_455",0
"ASV_456",0
"ASV_457",0.00123639521285328
"ASV_458",0
"ASV_459",0
"ASV_460",0
"ASV_461",0
"ASV_462",0
"ASV_463",0
"ASV_464",4.49705859018253e-05
"ASV_465",0
"ASV_466",0
"ASV_467",0
"ASV_468",0
"ASV_469",0
"ASV_470",0
"ASV_471",0
"ASV_472",0
"ASV_473",0
"ASV_474",0
"ASV_475",0
"ASV_476",0.000173097353973095
"ASV_477",0
"ASV_478",0
"ASV_479",0
"ASV_480",0
"ASV_481",0
"ASV_482",0
"ASV_483",0
"ASV_484",0
"ASV_485",0
"ASV_486",0
"ASV_487",0
"ASV_488",0
"ASV_489",0.000154168698250254
"ASV_490",0
"ASV_491",0
"ASV_492",0
"ASV_493",0
"ASV_494",0
"ASV_495",0
"ASV_496",0
"ASV_497",0
"ASV_498",0
"ASV_499",0
"ASV_500",0
"ASV_501",0
"ASV_502",0
"ASV_503",0
"ASV_504",0
"ASV_505",0
"ASV_506",0
"ASV_507",0
"ASV_508",0
"ASV_509",0
"ASV_510",0
"ASV_511",0
"ASV_512",0
"ASV_513",0
"ASV_514",0
"ASV_515",0.00141720703629563
"ASV_516",0
"ASV_517",0
"ASV_518",0.00064791637589191
"ASV_519",0
"ASV_520",0
"ASV_521",0.00082985747471387
"ASV_522",0
"ASV_523",0
"ASV_524",0
"ASV_525",0.0348530371621849
"ASV_526",0
"ASV_527",0
"ASV_528",0
"ASV_529",0
"ASV_530",0
"ASV_531",0.000543870351747204
"ASV_532",0
"ASV_533",0
"ASV_534",0
"ASV_535",0.000130052215066338
"ASV_536",0
"ASV_537",0
"ASV_538",0.000112118665927723
"ASV_539",0
"ASV_540",0
"ASV_541",0
"ASV_542",0
"ASV_543",0
"ASV_544",0.0364537199785328
"ASV_545",0
"ASV_546",0
"ASV_547",0
"ASV_548",0
"ASV_549",0
"ASV_550",0
"ASV_551",0
"ASV_552",0
"ASV_553",0
"ASV_554",0
"ASV_555",0
"ASV_556",0
"ASV_557",0.000248837603793351
"ASV_558",0
"ASV_559",0
"ASV_560",0
"ASV_561",0
"ASV_562",0
"ASV_563",0
"ASV_564",0
"ASV_565",0
"ASV_566",0
"ASV_567",0
"ASV_568",0
"ASV_569",0
"ASV_570",4.31084900184042e-05
"ASV_571",0
"ASV_572",6.49240157030234e-05
"ASV_573",0
"ASV_574",0.000125474478389472
"ASV_575",0
"ASV_576",0
"ASV_577",0
"ASV_578",0.0314065197596593
"ASV_579",0
"ASV_580",0
"ASV_581",0
"ASV_582",0
"ASV_583",0
"ASV_584",0
"ASV_585",0
"ASV_586",0
"ASV_587",0
"ASV_588",0
"ASV_589",0
"ASV_590",4.34093000742617e-05
"ASV_591",0
"ASV_592",0.0300534485319201
"ASV_593",0
"ASV_594",0
"ASV_595",0
"ASV_596",0
"ASV_597",0
"ASV_598",0
"ASV_599",0
"ASV_600",0
"ASV_601",0
"ASV_602",0
"ASV_603",0
"ASV_604",0
"ASV_605",0
"ASV_606",0
"ASV_607",0
"ASV_608",0
"ASV_609",0.000366911435081
"ASV_610",0
"ASV_611",4.31082080411174e-05
"ASV_612",0
"ASV_613",0.000216215970058172
"ASV_614",0
"ASV_615",0
"ASV_616",0
"ASV_617",0.000282916191213935
"ASV_618",0
"ASV_619",0
"ASV_620",0
"ASV_621",0
"ASV_622",0
"ASV_623",0
"ASV_624",0.000118639170055996
"ASV_625",0.000272140187434957
"ASV_626",0
"ASV_627",0
"ASV_628",0
"ASV_629",0.000171310925834274
"ASV_630",0
"ASV_631",0
"ASV_632",0
"ASV_633",0
"ASV_634",0
"ASV_635",0
"ASV_636",8.62169800338897e-05
"ASV_637",0
"ASV_638",0
"ASV_639",0
"ASV_640",0
"ASV_641",0
"ASV_642",0
"ASV_643",0
"ASV_644",0
"ASV_645",0
"ASV_646",0
"ASV_647",0
"ASV_648",0.0244200980534451
"ASV_649",0
"ASV_650",0
"ASV_651",0.0237320551152191
"ASV_652",0
"ASV_653",0
"ASV_654",0
"ASV_655",0
"ASV_656",0
"ASV_657",0
"ASV_658",0.0241455056581239
"ASV_659",0
"ASV_660",0
"ASV_661",0.000500720365275926
"ASV_662",0
"ASV_663",0
"ASV_664",0
"ASV_665",0
"ASV_666",0
"ASV_667",0
"ASV_668",0
"ASV_669",0
"ASV_670",0
"ASV_671",0
"ASV_672",0
"ASV_673",0
"ASV_674",0
"ASV_675",0
"ASV_676",0
"ASV_677",0
"ASV_678",0
"ASV_679",0
"ASV_680",0.00054815007332365
"ASV_681",0
"ASV_682",0
"ASV_683",0
"ASV_684",4.32296806596665e-05
"ASV_685",0
"ASV_686",0
"ASV_687",0
"ASV_688",0
"ASV_689",0
"ASV_690",0
"ASV_691",0
"ASV_692",0
"ASV_693",0
"ASV_694",0.000133900422643095
"ASV_695",4.35812641901943e-05
"ASV_696",0
"ASV_697",0
"ASV_698",0
"ASV_699",0
"ASV_700",0
"ASV_701",6.50019801933773e-05
"ASV_702",0
"ASV_703",0
"ASV_704",0
"ASV_705",0
"ASV_706",0
"ASV_707",0.000351898892805278
"ASV_708",0
"ASV_709",0
"ASV_710",0.0205065553373073
"ASV_711",0.000427405076888477
"ASV_712",0
"ASV_713",0
"ASV_714",0
"ASV_715",0
"ASV_716",0
"ASV_717",0
"ASV_718",0.000446467795780335
"ASV_719",0
"ASV_720",0
"ASV_721",0
"ASV_722",0
"ASV_723",0
"ASV_724",0
"ASV_725",0
"ASV_726",0.000664251085830306
"ASV_727",0
"ASV_728",9.29813621908909e-05
"ASV_729",0
"ASV_730",0
"ASV_731",0
"ASV_732",0.000132707605081823
"ASV_733",0
"ASV_734",0.000134463206404001
"ASV_735",0
"ASV_736",0
"ASV_737",0
"ASV_738",0
"ASV_739",6.47077236806223e-05
"ASV_740",0
"ASV_741",0
"ASV_742",0
"ASV_743",0
"ASV_744",0
"ASV_745",0
"ASV_746",0
"ASV_747",0
"ASV_748",0
"ASV_749",0
"ASV_750",0
"ASV_751",0
"ASV_752",0
"ASV_753",0.0181091292435929
"ASV_754",0
"ASV_755",0
"ASV_756",0
"ASV_757",0.000603350550543416
"ASV_758",0
"ASV_759",0
"ASV_760",0
"ASV_761",0
"ASV_762",0
"ASV_763",0
"ASV_764",0
"ASV_765",0
"ASV_766",0.000222482379046723
"ASV_767",0
"ASV_768",0
"ASV_769",0
"ASV_770",0
"ASV_771",0
"ASV_772",0
"ASV_773",0
"ASV_774",0
"ASV_775",0
"ASV_776",0
"ASV_777",0.000177235507977214
"ASV_778",0
"ASV_779",0
